iso3,country,year,fpe_score,phi,peers
ROU,Romania,2003,1.0,1.0,ROU
RUS,Russian Federation,2003,1.0000000000000002,0.9999999999999998,RUS
SLE,Sierra Leone,2003,0.6797156934720378,1.4712033422266984,"PHL,TCD"
SRB,Serbia,2003,0.9509959140769899,1.0515292286724198,"BLR,CAN,RUS"
SYR,Syrian Arab Republic,2003,0.9686427688737856,1.0323723380113317,"PHL,RUS"
TCD,Chad,2003,1.0000000000000002,0.9999999999999998,TCD
UKR,Ukraine,2003,0.9158789838537531,1.0918473047523047,"PHL,RUS"
UZB,Uzbekistan,2003,0.9589736378826884,1.0427815327727814,"PHL,RUS"
ARG,Argentina,2004,0.8453201122353581,1.182983801669651,"BLR,CAN,ETH"
ARM,Armenia,2004,0.8423069167170805,1.1872157050514718,ETH
AZE,Azerbaijan,2004,0.931336963097399,1.07372523546606,ETH
BLR,Belarus,2004,1.0,1.0,BLR
CAN,Canada,2004,0.9999999999999982,1.0000000000000018,CAN
CRI,Costa Rica,2004,0.9676358431789845,1.0334466287593163,"CAN,ETH"
EST,Estonia,2004,0.9077104396826512,1.1016729083226304,"BLR,CAN,ETH"
ETH,Ethiopia,2004,1.0,1.0,ETH
GEO,Georgia,2004,0.8896955031256304,1.1239800543970986,ETH
HND,Honduras,2004,0.9967735430530351,1.0032369006676105,ETH
HUN,Hungary,2004,0.9152772370154247,1.0925651371608922,"BLR,CAN,ETH"
IDN,Indonesia,2004,0.9874974793305101,1.0126608127424954,ETH
JAM,Jamaica,2004,0.905424480742085,1.1044543429844098,ETH
KAZ,Kazakhstan,2004,0.9817503528937286,1.0185888877477662,ETH
LTU,Lithuania,2004,0.8895998288897162,1.124100935639872,"CAN,ETH"
LVA,Latvia,2004,0.8864690461786647,1.1280709736123753,ETH
MKD,North Macedonia,2004,0.9357733413994758,1.0686348453830405,ETH
MRT,Mauritania,2004,0.9019963702359346,1.108651911468813,ETH
PAK,Pakistan,2004,0.9742891712038723,1.026389320086929,ETH
POL,Poland,2004,0.8859052149408266,1.128788930390024,"BLR,CAN,ETH"
ROU,Romania,2004,0.9263091035242489,1.0795532465301114,"BLR,CAN,ETH"
RUS,Russian Federation,2004,0.9849459118354665,1.0152841775204486,"CAN,ETH"
SRB,Serbia,2004,0.9319198646060146,1.0730536368840764,"BLR,CAN,ETH"
UKR,Ukraine,2004,0.9041137326073804,1.106055536968886,ETH
VNM,Viet Nam,2004,0.8480510700478334,1.1791742682944744,"CAN,ETH"
ZMB,Zambia,2004,1.0,1.0,ZMB
ALB,Albania,2005,0.8065938470788657,1.239781339296807,MDG
ARM,Armenia,2005,0.8814510471991186,1.1344929513415183,MDG
AZE,Azerbaijan,2005,0.9207335404349136,1.0860905528950802,MDG
BGD,Bangladesh,2005,0.9999999999999991,1.0000000000000009,BGD
BLR,Belarus,2005,0.9864377709401118,1.0137486919696546,"MDG,ZAF"
CAN,Canada,2005,0.9772917379932355,1.0232359091190042,"MDG,ZAF"
EST,Estonia,2005,0.9003777870793419,1.1106449030065635,"MDG,ZAF"
GAB,Gabon,2005,0.9452850987072857,1.057881903954203,MDG
GEO,Georgia,2005,0.8513879146207038,1.174552730696798,MDG
GHA,Ghana,2005,0.9908396410357243,1.009245046912637,"MDG,RWA,ZAF"
HUN,Hungary,2005,0.9003280405370511,1.1107062703539634,"MDG,ZAF"
IDN,Indonesia,2005,0.9806593847078869,1.0197220519108927,MDG
KAZ,Kazakhstan,2005,0.9850686441527211,1.0151576805696843,MDG
KEN,Kenya,2005,0.9464876240104223,1.0565378507146634,MDG
LVA,Latvia,2005,0.8770417877542839,1.1401965265082268,MDG
MDG,Madagascar,2005,1.0000000000000002,0.9999999999999998,MDG
MKD,North Macedonia,2005,0.9313558472792866,1.0737034646008177,MDG
POL,Poland,2005,0.8589209701381447,1.164251467558377,"MDG,ZAF"
ROU,Romania,2005,0.9106958219649283,1.0980614776977762,"MDG,ZAF"
RWA,Rwanda,2005,1.0,1.0,RWA
SEN,Senegal,2005,0.9882753782944187,1.0118637193267082,MDG
SRB,Serbia,2005,0.8956189289918876,1.1165462984637944,"MDG,ZAF"
TTO,Trinidad and Tobago,2005,0.9762501252630528,1.0243276534592483,MDG
TUN,Tunisia,2005,0.7825433410161339,1.2778844922525292,MDG
UGA,Uganda,2005,0.79867722216655,1.2520702634880798,MDG
UKR,Ukraine,2005,0.9199318568994891,1.0870370370370368,MDG
URY,Uruguay,2005,0.9614502465396558,1.0400954220970748,"MDG,ZAF"
ZAF,South Africa,2005,1.0,1.0,ZAF
ARM,Armenia,2006,0.9082297820330005,1.1010429516653584,IDN
BLR,Belarus,2006,0.9926073666100494,1.0074476914423856,"CAN,ZMB"
CAN,Canada,2006,1.0,1.0,CAN
GEO,Georgia,2006,0.8526176410674271,1.1728586787719508,IDN
HUN,Hungary,2006,0.9174494168322447,1.0899783482917071,"CAN,ZMB"
IDN,Indonesia,2006,1.0,1.0,IDN
IND,India,2006,0.8510815251718371,1.1749755698175866,"MLI,ZMB"
IRQ,Iraq,2006,0.9852536000746858,1.0149671109287968,"IDN,ZMB"
LVA,Latvia,2006,0.9075930629867734,1.1018153848698744,"IDN,ZMB"
MAR,Morocco,2006,0.794459156651049,1.2587179487179487,IDN
MKD,North Macedonia,2006,0.9388537658041146,1.0651286030082805,"IDN,ZMB"
MLI,Mali,2006,1.0,1.0,MLI
MUS,Mauritius,2006,0.9682265723402195,1.0328161078898956,"IDN,ZMB"
PER,Peru,2006,0.909277418788781,1.0997743695560676,"IDN,ZMB"
PHL,Philippines,2006,0.973902651617039,1.026796670426587,"IDN,ZMB"
POL,Poland,2006,0.8780301401621873,1.138913067170203,"IDN,ZMB"
ROU,Romania,2006,1.0,1.0,ROU
SRB,Serbia,2006,0.9140389433128087,1.0940452891160604,"IDN,ZMB"
TGO,Togo,2006,0.9999999999999998,1.0000000000000002,TGO
UKR,Ukraine,2006,0.9335653534011067,1.0711622880571379,"IDN,ZMB"
VNM,Viet Nam,2006,0.8719459299431169,1.1468601041181956,"IDN,ZMB"
ZMB,Zambia,2006,1.0,1.0,ZMB
AFG,Afghanistan,2007,0.9772093388536723,1.0233221892589182,"CPV,PAK"
ARM,Armenia,2007,0.9361919346605408,1.068157033805889,CPV
BIH,Bosnia and Herzegovina,2007,0.9162838182746299,1.0913649025069638,CPV
BLR,Belarus,2007,0.985911179173047,1.0142901522211871,CPV
BTN,Bhutan,2007,1.0,1.0,BTN
CAN,Canada,2007,0.9919909330809846,1.0080737299625717,"BTN,CPV"
CHN,China,2007,0.8326697294538029,1.2009563511525259,CPV
CPV,Cabo Verde,2007,1.0,1.0,CPV
DOM,Dominican Republic,2007,0.8406329760081673,1.1895797911100316,CPV
GEO,Georgia,2007,0.8398162327718223,1.190736688548505,CPV
HUN,Hungary,2007,0.903113833588566,1.1072801266108971,CPV
IDN,Indonesia,2007,0.9949974476773861,1.0050277036733022,CPV
IND,India,2007,0.8929304366130402,1.1199080678592206,"CPV,PAK"
KAZ,Kazakhstan,2007,0.9873404798366512,1.012821838486196,CPV
LBR,Liberia,2007,1.0,1.0,LBR
LVA,Latvia,2007,0.8640122511485451,1.1573909961006736,CPV
PAK,Pakistan,2007,1.0,1.0,PAK
PAN,Panama,2007,0.9871362940275649,1.0130313372634194,CPV
POL,Poland,2007,0.8761613067891776,1.1413423444418558,CPV
ROU,Romania,2007,0.9210636318087321,1.085701319067671,"BTN,CPV"
SRB,Serbia,2007,0.9044410413476264,1.1056552658313579,CPV
SYR,Syrian Arab Republic,2007,0.9511451590656552,1.051364232334775,"CPV,PAK"
TJK,Tajikistan,2007,0.9607687508725821,1.0408331860208688,"CPV,PAK"
UKR,Ukraine,2007,0.9283307810107198,1.0772022434839987,CPV
AGO,Angola,2008,0.9999999999999998,1.0000000000000002,AGO
ALB,Albania,2008,0.8958332198791977,1.1162792111402713,"CAF,JOR"
ARM,Armenia,2008,0.9481210859712376,1.0547176038972055,"CAF,JOR"
BLR,Belarus,2008,0.9780595936790105,1.0224325863810197,"JOR,KAZ,ZAF"
BRA,Brazil,2008,0.8646508897214571,1.1565361371710898,"JOR,ZAF"
CAF,Central African Republic,2008,0.9999999999999998,1.0000000000000002,CAF
CAN,Canada,2008,0.9823545835506001,1.0179623699475424,"JOR,ZAF"
CIV,Cote d'Ivoire,2008,0.8792303059295322,1.1373584295900592,"CAF,JOR"
COL,Colombia,2008,0.8244430366708347,1.2129400765370983,"JOR,KAZ,ZAF"
GEO,Georgia,2008,0.8011152658757161,1.248259823019199,"CAF,JOR"
JOR,Jordan,2008,0.9999999999999998,1.0000000000000002,JOR
KAZ,Kazakhstan,2008,0.9999999999999996,1.0000000000000004,KAZ
LTU,Lithuania,2008,0.8885363972117166,1.1254462992602927,"JOR,ZAF"
LVA,Latvia,2008,0.8638583638583639,1.1575971731448762,JOR
MEX,Mexico,2008,0.9810744810744813,1.0192906036092095,JOR
MLT,Malta,2008,0.8526658526658525,1.1727923627684966,JOR
PAN,Panama,2008,0.9874944320242826,1.012663937709585,"JOR,ZAF"
PER,Peru,2008,0.9233539646480159,1.0830082918214379,"CAF,JOR,KAZ"
POL,Poland,2008,0.8785680939495362,1.1382157022167467,"JOR,ZAF"
ROU,Romania,2008,0.9074793703423873,1.1019534247072802,"JOR,KAZ,ZAF"
SRB,Serbia,2008,0.9200244200244202,1.0869276708692766,JOR
UKR,Ukraine,2008,0.9772297856683598,1.0233007780417447,"CAF,JOR,KAZ"
VNM,Viet Nam,2008,0.9368576946682645,1.0673979684332888,"AGO,CAF,KAZ"
ZAF,South Africa,2008,1.0,1.0,ZAF
ARM,Armenia,2009,0.9147148397616246,1.0932368827213963,"BWA,MNG"
BEL,Belgium,2009,0.8944444444444445,1.1180124223602483,BWA
BFA,Burkina Faso,2009,1.0,1.0,BFA
BLR,Belarus,2009,0.9747619316810153,1.0258915202766081,"BWA,MNG"
BWA,Botswana,2009,1.0,1.0,BWA
CAN,Canada,2009,0.9656565656565655,1.0355648535564854,BWA
CYP,Cyprus,2009,0.8479797979797981,1.179273377010125,BWA
GEO,Georgia,2009,0.7483002284133285,1.3363620135735725,"BWA,MNG"
IDN,Indonesia,2009,0.9898174196314373,1.0102873319529517,"BFA,MNG"
IND,India,2009,0.8875336490073482,1.1267178445779926,"BFA,MNG"
KAZ,Kazakhstan,2009,0.9864677548236038,1.0137178788766552,"BWA,MNG"
KHM,Cambodia,2009,0.835567279505805,1.1967917180666152,"BFA,MNG"
LVA,Latvia,2009,0.8539393939393938,1.1710432931156851,BWA
MKD,North Macedonia,2009,0.957916339643567,1.0439325007986522,"BWA,MNG"
MLI,Mali,2009,0.9897546599115783,1.010351393636618,"BFA,MNG"
MNG,Mongolia,2009,1.0,1.0,MNG
NAM,Namibia,2009,0.9977777777777778,1.0022271714922049,BWA
NGA,Nigeria,2009,0.7745324192951955,1.291101540862517,"BFA,MNG"
NIC,Nicaragua,2009,0.8552238015693974,1.1692845757624237,"BFA,MNG"
PER,Peru,2009,0.9081989300539941,1.101080354653741,"BWA,MNG"
PHL,Philippines,2009,0.9800022684639194,1.0204058012716906,"BFA,MNG"
POL,Poland,2009,0.8646464646464647,1.1565420560747663,BWA
ROU,Romania,2009,0.8873737373737374,1.1269208878770631,BWA
SDN,Sudan,2009,0.8363970506039533,1.1956044073540322,"BFA,MNG"
SRB,Serbia,2009,0.9262626262626263,1.079607415485278,BWA
TJK,Tajikistan,2009,0.8736365557278198,1.1446407472806672,"BFA,MNG"
UGA,Uganda,2009,0.8598475816923444,1.1629968162866828,"BFA,MNG"
UKR,Ukraine,2009,0.9457992821773945,1.05730678680346,"BWA,MNG"
ARM,Armenia,2010,0.8271988767425535,1.2088991270611056,ZMB
BGD,Bangladesh,2010,0.9999999999999998,1.0000000000000002,BGD
BLR,Belarus,2010,0.9583792999699129,1.0434282126412724,ZMB
EST,Estonia,2010,0.9147527830709058,1.0931915360157876,ZMB
GEO,Georgia,2010,0.7525824892187343,1.3287579957356077,ZMB
GRC,Greece,2010,0.8560826396549994,1.1681115276476102,ZMB
IDN,Indonesia,2010,0.9683080934710661,1.0327291558777836,ZMB
ITA,Italy,2010,0.9097382408986061,1.0992172858560245,ZMB
JOR,Jordan,2010,0.9799418313108013,1.0204687340088017,ZMB
KAZ,Kazakhstan,2010,0.969110420218634,1.0318741591638207,ZMB
LSO,Lesotho,2010,0.9576772640657908,1.044193109226097,ZMB
LVA,Latvia,2010,0.8306087654197171,1.203936247283265,ZMB
MDG,Madagascar,2010,0.9999999999999998,1.0000000000000002,MDG
MEX,Mexico,2010,0.9740246715474878,1.0266680395387149,ZMB
MKD,North Macedonia,2010,0.9238792498244911,1.0823925314806773,ZMB
MNG,Mongolia,2010,0.9895697522816168,1.0105401844532278,ZMB
NGA,Nigeria,2010,0.8136596128773441,1.2290151608529523,ZMB
PAK,Pakistan,2010,0.9804985509794454,1.0198893195722463,"MDG,ZMB"
PER,Peru,2010,0.8895797813659614,1.1241262683201803,ZMB
POL,Poland,2010,0.8679169591816267,1.1521839611740237,ZMB
ROU,Romania,2010,0.879951860395146,1.1364258035103716,ZMB
RUS,Russian Federation,2010,0.9647979139504563,1.0364864864864864,ZMB
TUN,Tunisia,2010,0.8355230167485709,1.1968551194334414,ZMB
UKR,Ukraine,2010,0.9336074616387525,1.071113975722419,ZMB
VNM,Viet Nam,2010,0.8893791996790693,1.1243797925124042,ZMB
ZMB,Zambia,2010,1.0,1.0,ZMB
ARM,Armenia,2011,0.887531806615776,1.1267201834862386,MNG
BEN,Benin,2011,0.9999999999999998,1.0000000000000002,BEN
BIH,Bosnia and Herzegovina,2011,0.9309465343040261,1.0741755440849223,"KAZ,MNG"
BLR,Belarus,2011,0.9706870229007634,1.0301981755268952,MNG
ECU,Ecuador,2011,0.8308396946564884,1.2036016170525543,MNG
ETH,Ethiopia,2011,1.0,1.0,ETH
GEO,Georgia,2011,0.7738422391857507,1.2922530580034197,MNG
GTM,Guatemala,2011,0.9225445292620864,1.0839585172109445,MNG
IDN,Indonesia,2011,0.9786846798790313,1.0217795583799303,"ETH,MNG"
IND,India,2011,0.8362415621938197,1.1958267146834602,"ETH,MNG"
KAZ,Kazakhstan,2011,1.0000000000000002,0.9999999999999998,KAZ
LVA,Latvia,2011,0.8284987277353689,1.2070024570024571,MNG
MLI,Mali,2011,0.9929734404499186,1.0070762814631755,"ETH,MNG"
MNE,Montenegro,2011,0.9230534351145037,1.083360899768442,MNG
MNG,Mongolia,2011,0.9999999999999998,1.0000000000000002,MNG
PAK,Pakistan,2011,0.9806616890897762,1.0197196557440447,"ETH,MNG"
PER,Peru,2011,0.9035114503816795,1.1067928354173706,MNG
POL,Poland,2011,1.0000000000000016,0.9999999999999984,POL
PRT,Portugal,2011,0.8312268151402331,1.2030410734900243,"KAZ,MNG"
PRY,Paraguay,2011,0.9105343511450383,1.0982562038900066,MNG
ROU,Romania,2011,0.9999999999999902,1.0000000000000098,ROU
RUS,Russian Federation,2011,0.9780152671755725,1.0224789260068685,MNG
SEN,Senegal,2011,0.9849164494010472,1.0153145483641028,"ETH,MNG"
SLE,Sierra Leone,2011,0.6408924849582104,1.5603241159321837,"ETH,MNG"
TCD,Chad,2011,0.9305089620136945,1.0746806756550968,"ETH,MNG"
TGO,Togo,2011,0.9057336980438154,1.1040772824945997,"ETH,MNG"
UKR,Ukraine,2011,0.9464631043256996,1.056565222066889,MNG
ALB,Albania,2012,0.8453105968331305,1.1829971181556194,GHA
ARM,Armenia,2012,0.8739342265529838,1.1442508710801398,GHA
BLR,Belarus,2012,0.959684924587391,1.0420086576122285,"GHA,KAZ"
BTN,Bhutan,2012,1.0,1.0,BTN
CRI,Costa Rica,2012,0.9489646561769871,1.053780025937546,"BTN,KAZ"
GEO,Georgia,2012,0.7784206252537554,1.2846524970661106,GHA
GHA,Ghana,2012,0.9999999999999998,1.0000000000000002,GHA
GIN,Guinea,2012,0.9574525598511161,1.0444381705507164,"GHA,MDG"
HTI,Haiti,2012,0.9348168729302774,1.0697282312260792,"BTN,GHA,MDG"
IDN,Indonesia,2012,0.9800040600893215,1.020403935784568,GHA
IRQ,Iraq,2012,0.9774665042630933,1.023052959501558,GHA
KAZ,Kazakhstan,2012,1.0000000000000002,0.9999999999999998,KAZ
LVA,Latvia,2012,0.834652862362972,1.1981028821597957,GHA
MDG,Madagascar,2012,1.0,1.0,MDG
MEX,Mexico,2012,0.9894437677628909,1.0106688551497742,GHA
MNE,Montenegro,2012,0.9364897987064793,1.06781729110263,"GHA,KAZ"
MNG,Mongolia,2012,0.9972578135991849,1.0027497266638787,"BTN,GHA,KAZ"
MUS,Mauritius,2012,0.9582825822168091,1.0435335239911023,GHA
NGA,Nigeria,2012,0.846849226258957,1.1808477459648894,"GHA,MDG"
PER,Peru,2012,0.896163215590743,1.1158681617397215,GHA
PHL,Philippines,2012,0.9528014616321563,1.0495365931607539,GHA
POL,Poland,2012,0.8866893961611604,1.1277906382205622,"BTN,KAZ"
ROU,Romania,2012,0.9116266280530245,1.096940314408889,"BTN,KAZ"
RUS,Russian Federation,2012,0.9857181947061703,1.014488730522101,"GHA,KAZ"
UGA,Uganda,2012,0.8603841559445216,1.162271519170654,"GHA,MDG"
UKR,Ukraine,2012,0.9369671132764917,1.0672733181670462,GHA
VNM,Viet Nam,2012,0.9222492894843684,1.0843055249834914,GHA
AFG,Afghanistan,2013,0.8678458879739758,1.152278317910273,RWA
ARM,Armenia,2013,0.8534105926603638,1.1717689100655153,RWA
BLR,Belarus,2013,0.9452068720138253,1.0579694557969457,RWA
CHN,China,2013,0.8249466300701433,1.2121996303142328,RWA
ECU,Ecuador,2013,0.911761715970316,1.096777790166128,RWA
GEO,Georgia,2013,0.7663921927416895,1.3048149621965779,RWA
HTI,Haiti,2013,0.8992579038324693,1.1120280352701786,RWA
IDN,Indonesia,2013,0.9785503710480837,1.0219198005402037,RWA
KAZ,Kazakhstan,2013,0.9981701738334857,1.001833180568286,RWA
LVA,Latvia,2013,0.8331808478194572,1.2002196193265007,RWA
MAR,Morocco,2013,0.8803497001118226,1.1359122401847577,RWA
MNE,Montenegro,2013,0.9237572430619091,1.0825354902608122,RWA
NPL,Nepal,2013,0.911761715970316,1.096777790166128,RWA
PAK,Pakistan,2013,0.9999999999999996,1.0000000000000004,PAK
PER,Peru,2013,0.9101352038223035,1.098737853233553,RWA
POL,Poland,2013,0.8814679272135814,1.1344712259254988,RWA
ROU,Romania,2013,0.8889905458981395,1.1248713550600344,RWA
RUS,Russian Federation,2013,0.9673681000304971,1.0337326607818411,RWA
RWA,Rwanda,2013,1.0,1.0,RWA
SRB,Serbia,2013,0.924773813154417,1.0813454985159943,RWA
TJK,Tajikistan,2013,0.9396157365050322,1.0642648490749755,RWA
UKR,Ukraine,2013,0.9432753888380604,1.0601357904946653,RWA
ARM,Armenia,2014,0.8142083069834523,1.2281869288522547,"BFA,ZAF"
BFA,Burkina Faso,2014,1.0,1.0,BFA
BLR,Belarus,2014,0.9456224091064782,1.0575045497757434,"BFA,ZAF"
CAN,Canada,2014,0.9750429423057492,1.02559585492228,ZAF
CIV,Cote d'Ivoire,2014,0.9025996989833007,1.1079108503209254,"BFA,ZAF"
COM,Comoros,2014,0.9398748333822717,1.0639714613927467,"BFA,ZAF"
GTM,Guatemala,2014,0.9059603419490183,1.1038010757167047,"BFA,ZAF"
IDN,Indonesia,2014,0.9823621527711901,1.017954526422923,"BFA,ZAF"
KAZ,Kazakhstan,2014,0.9983179649964339,1.001684869012221,"BFA,ZAF"
KHM,Cambodia,2014,0.8944882295351394,1.117957695787338,"BFA,ZAF"
LBR,Liberia,2014,0.8008765069010415,1.2486319568412096,"BFA,ZAF"
LVA,Latvia,2014,0.8200464787309285,1.2194430754066043,ZAF
MEX,Mexico,2014,0.9848836391306215,1.0153483724054164,"BFA,ZAF"
MLI,Mali,2014,1.0,1.0,MLI
MNE,Montenegro,2014,0.9208851167020308,1.0859117840684662,ZAF
MNG,Mongolia,2014,0.9924052266747702,1.007652895330547,"BFA,ZAF"
MRT,Mauritania,2014,0.9109050889444592,1.097809214304404,"BFA,ZAF"
NIC,Nicaragua,2014,0.7714740616113823,1.2962198598243138,"BFA,ZAF"
NPL,Nepal,2014,0.9256857181649726,1.0802802510363279,"BFA,ZAF"
PER,Peru,2014,0.9274590620163549,1.078214706130464,"BFA,ZAF"
POL,Poland,2014,0.8735980600181875,1.1446911866759193,ZAF
RUS,Russian Federation,2014,0.9612003637465898,1.0403658152002524,ZAF
SDN,Sudan,2014,0.9004850641386863,1.1105125890749779,"BFA,ZAF"
TJK,Tajikistan,2014,0.9426505810135343,1.060838469886481,"BFA,ZAF"
TTO,Trinidad and Tobago,2014,0.9712033949681723,1.0296504369538075,ZAF
UKR,Ukraine,2014,0.9388658416279594,1.065114903175129,"BFA,ZAF"
VNM,Viet Nam,2014,0.9255679385258372,1.0804177180042684,"BFA,ZAF"
ZAF,South Africa,2014,1.0,1.0,ZAF
ARM,Armenia,2015,0.7778780585639791,1.2855485368054662,ZMB
BEN,Benin,2015,0.96242971922922,1.0390369083790023,"ETH,ZMB"
BIH,Bosnia and Herzegovina,2015,0.9207781789009226,1.0860379002395992,ZMB
BLR,Belarus,2015,0.9193742478941037,1.0876963350785338,ZMB
BWA,Botswana,2015,1.0,1.0,BWA
CAN,Canada,2015,0.9697152025671884,1.0312306101344362,ZMB
CYP,Cyprus,2015,0.8549939831528282,1.1695988740323713,ZMB
